IDCode,Property Date,AgentData.Name,Cabang,Province.Title,LocationData.Title,Area.Title,Address,Type,Transaction,LT,LB,KT,KM,PriceFormat,Status Property,Certificate,Judul,Air,Listrik,Tipe Listing,Deskripsi
241225-BRPI00148,6/24/25 12:56,ANNEKE (AOJ),"Brighton Winner Pakuwon Indah, Surabaya",Jawa Timur,Surabaya,Citraland,CITRALAND TAMAN INTERNATIONAL VILLAGE I,Rumah,Jual,210,125,3+1,3,"3,250,000,000",Sale,SHM,RUMAH CITRALAND TAMAN INTERNATIONAL VILLAGE I SURABAYA,PDAM,2200,OPEN,"(JUAL) RUMAH TAMAN INTERNATIONAL VILLAGE I CITRALAND SURABAYA

LT: 210

LB: 125 

KT: 3+1

KM: 3 

LISTRIK: 2200WATT 

AIR: PAM

SERTIFIKAT: SHM

- 2 LANTAI

- GARASI + CARPORT 

HARGA: 3.25M NEGO"
241225-BRPI00147,6/24/25 12:55,ANNEKE (AOJ),"Brighton Winner Pakuwon Indah, Surabaya",Jawa Timur,Surabaya,Citraland,CITRALAND PALMA GRANDIA,Tanah,Jual,560,,,,"4,480,000,000",Sale,HGB,TANAH KAVLING PALMA GRANDIA CITRALAND SURABAYA,,,OPEN,"(JUAL) TANAH PALMA GRANDIA CITRALAND SURABAYA

LT: 560 

DIMENSI: 20X28 

HADAP: TIMUR UTARA 

SERTIFIKAT: HGB

- POSISI HOOK

- ROW JALAN 15 METER

HARGA PER METER: 8JT/M2

HARGA TOTAL: 4.48M"
241225-BRPI00146,6/24/25 12:55,ANNEKE (AOJ),"Brighton Winner Pakuwon Indah, Surabaya",Jawa Timur,Surabaya,Wiyung,BABATAN PRATAMA XVII,Rumah,Sewa,126,105,3+1,1+1,"45,000,000",Sold,SHM,RUMAH 1 LANTAI BABATAN PRATAMA SURABAYA,PDAM,2200,OPEN,"(SEWA) RUMAH BABATAN PRATAMA XVII SURABAYA

LT: 126

LB: 105

DIMENSI: 7X18 

KT: 3+1

KM: 1+1

HADAP: SELATAN

LISTRIK: 2200WATT

AIR: PDAM

SERTIFIKAT: SHM

- 1 LANTAI

- 2 UNIT AC

- FULL BANGUNAN

- BARU SELESAI RENOVASI, CAT, DAN LAIN-LAIN

- SIAP HUNI

- MINIMAL SEWA 1TH

HARGA: 45JT/TH NETT"
241225-BRPI00145,6/24/25 12:55,ANNEKE (AOJ),"Brighton Winner Pakuwon Indah, Surabaya",Jawa Timur,Surabaya,Pakuwon Indah,PAKUWON INDAH PAKUWON MALL SQUARE,Tanah,JualSewa,121.8,,,,"9,500,000,000",Sale,PPJB,TANAH KAVLING STRATEGIS PAKUWON MALL SQUARE SURABAYA,,,OPEN,"(JUAL/SEWA) TANAH KAVLING PAKUWON MALL SQUARE PAKUWON INDAH SURABAYA 

LT: 121.8 

DIMENSI: 6X20.3 

HADAP: BARAT LAUT 

SERTIFIKAT: PPJB

- TANAH KAVLING DEPAN ATAU SAMPING PAKUWON MALL

- DEPAN SAMPOERNA ACADEMY SURABAYA

HARGA SEWA: 230JT/TH (NEGO TIPIS) (MIN SEWA 5TH) 

HARGA JUAL: 9.5M NEGO "
241225-BRPI00144,6/24/25 12:55,ANNEKE (AOJ),"Brighton Winner Pakuwon Indah, Surabaya",Jawa Timur,Surabaya,Citraland,CITRALAND PALMA GRANDIA,Rumah,Jual,180,158,4+1,4+1,"2,400,000,000",Sale,PPJB,RUMAH PALMA GRANDIA CITRALAND SURABAYA,PDAM,2200,OPEN,"(JUAL) RUMAH PALMA GRANDIA CITRALAND SURABAYA

LT: 180

LB: 158

KT: 4+1

KM: 4+1

HADAP: BARAT

LISTRIK: 2200WATT

AIR: PAM

SERTIFIKAT: PPJB

- 2 LANTAI

- KOSONGAN

- KT ADA KM DALAM

- ROW JALAN LEBAR

- RUMAH BARU GRESS

HARGA: 2.4M"
241225-BRPI00143,6/24/25 12:55,ANNEKE (AOJ),"Brighton Winner Pakuwon Indah, Surabaya",Jawa Timur,Surabaya,Pakuwon Indah,ORCHARD,Apartment,Jual,25,25,1,1,"450,000,000",Sale,PPJB,APARTEMEN ORCHARD STUDIO FURNISHED,PAM,2200,OPEN,"(JUAL) APARTEMEN ORCHARD SURABAYA

LT: 25

LB: 25 

KT: 1 (TIPE STUDIO)

KM: 1

HADAP: TIMUR/UTARA 

AIR: PAM

SERTIFIKAT: PPJB

- TIPE STUDIO

- VIEW CITY

- FULL FURNISHED

- TV

- AC

- KULKAS

- KOMPOR LISTRIK

- MICROWAVE

- PERALATAN MASAK DAN MAKAN

HARGA: 450JT NEGO"
241225-BRPI00142,6/24/25 12:52,ANNEKE (AOJ),"Brighton Winner Pakuwon Indah, Surabaya",Jawa Timur,Surabaya,Wonocolo,THE CITY SQUARE TOWER A,Apartment,Sewa,31.5,31.5,2,1,"25,000,000",Sale,Lain-lain,APARTEMEN THE CITY SQUARE SURABAYA,PDAM,3500,OPEN,"(SEWA) APARTEMEN THE CITY SQUARE TOWER A SURABAYA

LT: 31.5

LB: 31.5 

KT: 2

KM: 1 

AIR: PAM

- VIEW CITY

- KOSONGAN

- PANTRY

- FASUM FASOS, SWIMMING POOL, SPA SAUNA, FITNESS CENTER, CAFE 

HARGA: 25JT/TH NETT"
241225-BRPI00141,6/24/25 12:51,ANNEKE (AOJ),"Brighton Winner Pakuwon Indah, Surabaya",Jawa Timur,Surabaya,Pakuwon City,EDUCITY TOWER HARVARD,Apartment,JualSewa,21,21,1,1,"375,000,000",Sale,Lain-lain,APARTEMEN EDUCITY TOWER HARVARD SURABAYA,PAM,2200,OPEN,"(JUAL/SEWA) APARTEMEN EDUCITY TOWER HARVARD SURABAYA

LT: 21

LB: 21 

KT: 1 (TIPE STUDIO)

KM: 1 

AIR: PAM

SERTIFIKAT: STRATA TITLE

- TIPE STUDIO

- VIEW CITY

- KITCHEN SET

- TV 32â€

- LEMARI PAKAIAN

- 1 UNIT AC

- BALKON

HARGA SEWA: 25JT/TH

HARGA JUAL: 375T "
241225-BRPI00140,6/24/25 12:48,ANNEKE (AOJ),"Brighton Winner Pakuwon Indah, Surabaya",Jawa Timur,Surabaya,Pakuwon Indah,LA RIZ,Apartment,Jual,54,54,2,1,"1,800,000,000",Sale,PPJB,APARTEMEN LA RIZ FULL FURNISHED,PAM,2200,OPEN,"(JUAL) APARTEMEN LA RIZ SURABAYA

LT: 54

LB: 54 

KT: 2

KM: 1 

AIR: PAM

SERTIFIKAT: PPJB

- VIEW CITY DAN POOL

- TIPE 2BR

- FULL FURNISHED

- CONNECT PAKUWON MALL 

HARGA: 1.8M NEGO"
241225-BRPI00139,6/24/25 12:48,ANNEKE (AOJ),"Brighton Winner Pakuwon Indah, Surabaya",Jawa Timur,Surabaya,Pakuwon Indah,ANDERSON,Apartment,Jual,54,54,2,1,"1,400,000,000",Sale,PPJB,APARTEMEN ANDERSON FULL FURNISHED,PAM,2200,OPEN,"(JUAL) APARTEMEN ANDERSON SURABAYA

LT: 54

LB: 54 

KT: 2

KM: 1 

AIR: PAM

SERTIFIKAT: PPJB

- TIPE 2BR

- VIEW POOL

- KAMAR ANAK MEMPUNYAI 3 SUSUN RANJANG DOUBLE BED

- FULL FURNISHED

- CONNECT PAKUWON MALL 

HARGA: 1.4M"
241225-BRPI00138,6/24/25 12:46,ANNEKE (AOJ),"Brighton Winner Pakuwon Indah, Surabaya",Jawa Timur,Surabaya,Raya A Yani,TRANS ICON,Apartment,Jual,82,82,3,2,"2,200,000,000",Sale,Lain-lain,APARTEMEN TRANS ICON SURABAYA,PAM,2200,OPEN,"(JUAL) APARTEMEN TRANS ICON SURABAYA

LT: 82 

LB: 82 

KT: 3

KM: 2

AIR: PAM

- TIPE 3BR

- SERAH TERIMA JUNI 2024

- VIEW FRONTAGE CITY VIEW

- DIJUAL DENGAN HARGA DIBAWAH HARGA DEVELOPER 2.2M

- HARGA CASH DEVELOPER 2.3M, KPA 3M

HARGA: 2.2M "
241225-BRPI00137,6/24/25 12:46,ANNEKE (AOJ),"Brighton Winner Pakuwon Indah, Surabaya",Jawa Timur,Surabaya,Pakuwon Indah,ANDERSON,Apartment,Jual,54,54,1,1,"1,400,000,000",Sale,PPJB,APARTEMEN ANDERSON VIEW POOL,PAM,2200,OPEN,"(JUAL) APARTEMEN ANDERSON SURABAYA

LT: 54

LB: 54 

KT: 1 (2BR DIRENOV JD 1BR) 

KM: 1 

AIR: PAM

SERTIFIKAT: PPJB

- TIPE 2BR DIRENOV JADI 1

- SEMI FURNISHED

- VIEW POOL 

HARGA: 1.4M"
241225-BRPI00136,6/24/25 12:46,ANNEKE (AOJ),"Brighton Winner Pakuwon Indah, Surabaya",Jawa Timur,Surabaya,Dukuh Pakis,88 AVENUE,Apartment,Jual,30.25,30.25,1,1,"700,000,000",Sale,PPJB,APARTEMEN 88 AVENUE VIEW CITY,PAM,2200,OPEN,"(JUAL) APARTEMEN 88 AVENUE SURABAYA

LT: 30.25

LB: 30.25 

KT: 1

KM: 1

HADAP: SELATAN 

AIR: PAM

SERTIFIKAT: PPJB

- TIPE 1BR

- VIEW CITY

- KOSONGAN

- 1 UNIT AC 1PK BARU GRESS 

HARGA: 700JT NEGO"
241225-BRPI00135,6/24/25 12:45,ANNEKE (AOJ),"Brighton Winner Pakuwon Indah, Surabaya",Jawa Timur,Surabaya,Kenjeran,LEBAK TIMUR,Gudang,Jual,200,250,,2,"2,880,000,000",Sale,SHM,GUDANG LEBAK TIMUR SURABAYA,PDAM,13200,OPEN,"(JUAL)  GUDANG LEBAK TIMUR  SURABAYA 

LT: 200

LB: 250

DIMENSI: 10X20 

KM: 2

HADAP: BARAT DAYA 

LISTRIK: 13.000WATT

AIR: PDAM

SERTIFIKAT: SHM, IMB

- 1.5 LANTAI

- KOSONGAN

- BONUS 12 ROOF FAN VENTILATOR

- MURAH STRATEGIS

- BEBAS BANIR

- AKSES TRUK ENGKEL (BUKAN KONTAINER)

HARGA: 2.88M"
241225-BRPI00134,6/24/25 12:45,ANNEKE (AOJ),"Brighton Winner Pakuwon Indah, Surabaya",Jawa Timur,Surabaya,Gayungan,ARYADUTA RESIDENCE,Apartment,Jual,43,43,1,1,"450,000,000",Sale,PPJB,APARTEMEN ARYADUTA RESIDENCE SURABAYA,PAM,2200,OPEN,"(JUAL) APARTEMEN ARYADUTA RESIDENCE SURABAYA

LT: 43

LB: 43 

KT: 1

KM: 1

HADAP: BARAT 

AIR: PAM

SERTIFIKAT: PPJB

- VIEW CITY (JALAN TOL)

- FULL FURNISHED

- UNIT PENTHOUSE

HARGA: 450JT NEGO"
241225-BRPI00133,6/24/25 12:45,ANNEKE (AOJ),"Brighton Winner Pakuwon Indah, Surabaya",Jawa Timur,Surabaya,Citraland,CITRALAND GREENWOOD,Rumah,Jual,135,150,4,3,"3,000,000,000",Sale,SHM,RUMAH CITRALAND GREENWOOD SURABAYA,PDAM,2200,OPEN,"(JUAL) RUMAH GREENWOOD CITRALAND SURABAYA 

LT: 135

LB: 150

DIMENSI: 9X15 

KT: 4

KM: 3

HADAP: UTARA 

LISTRIK: 2200WATT

AIR: PAM

SERTIFIKAT: SHM

- 2 LANTAI

- 2 UNIT AC

- KITCHEN DAN LIVING ROOM 

- CARPORT

- ADA HALAMAN BELAKANG

- BALKON

HARGA: 3M"
241225-BRPI00132,6/24/25 12:45,ANNEKE (AOJ),"Brighton Winner Pakuwon Indah, Surabaya",Jawa Timur,Surabaya,Citraland,CITRALAND TAMAN PUSPA RAYA,Rumah,Jual,160,190,4,3,"3,500,000,000",Sale,SHM,RUMAH TAMAN PUSPA RAYA CITRALAND SURABAYA,PDAM,4400,OPEN,"(JUAL) RUMAH TAMAN PUSPA RAYA CITRALAND SURABAYA

LT: 160

LB: 190 

KT: 4

KM: 3

HADAP: SELATAN

LISTRIK: 4500WATT

AIR: PAM

SERTIFIKAT: SHM

- 2 LANTAI

- SEMI FURNISHED

- KULKAS

- AC

- CANOPY

- JALAN UTAMA LUAS 12 METER 

HARGA: 3.5M"
241225-BRPI00131,6/24/25 12:45,ANNEKE (AOJ),"Brighton Winner Pakuwon Indah, Surabaya",Jawa Timur,Surabaya,Citraland,CITRALAND INTERNATIONAL VILLAGE 1,Rumah,Jual,96,77,2+1,1+1,"1,300,000,000",Sale,SHM,RUMAH CITRALAND INTERNATIONAL VILLAGE 1 SURABAYA,PDAM,2200,OPEN,"(JUAL) RUMAH INTERNATIONAL VILLAGE 1 CITRALAND SURABAYA

LT: 96

LB: 77

DIMENSI: 6X16 

KT: 2+1

KM: 1+1 

LISTRIK: 2200WATT

AIR: PDAM

SERTIFIKAT: SHM

- 1 LANTAI

- KOSONGAN

- BUTUH RENOV

- CARPORT 

HARGA: 1.3M"
241225-BRPI00130,6/24/25 12:45,ANNEKE (AOJ),"Brighton Winner Pakuwon Indah, Surabaya",Jawa Timur,Surabaya,Citraland,CITRALAND BUKIT PALMA,Rumah,Jual,120,120,2+1,1+1,"1,200,000,000",Sale,HGB,RUMAH BUKIT PALMA CITRALAND SURABAYA,PDAM,1300,OPEN,"(JUAL) RUMAH BUKIT PALMA CITRALAND SURABAYA

LT: 120

LB: 120

DIMENSI: 8X15 

KT: 2+1

KM: 1+1

LISTRIK 1300WATT 

AIR: PAM

SERTIFIKAT: HGB

- 1 LANTAI

- ROW JALAN 9 METER

- BARU RENOV

- KOSONGAN

- PERABOT MENEMPEL

- 1 UNIT AC DI KAMAR DEPAN

HARGA: 1.2M"
241225-BRPI00129,6/24/25 12:44,ANNEKE (AOJ),"Brighton Winner Pakuwon Indah, Surabaya",Jawa Timur,Surabaya,Citraland,CITRALAND NORTHWEST CENTRAL,Rumah,Jual,90,90,3+1,3,"2,050,000,000",Sale,PPJB,RUMAH NORTHWEST CENTRAL CITRALAND SURABAYA,PDAM,4400,OPEN,"(JUAL) RUMAH NORTHWEST CENTRAL CITRALAND SURABAYA

LT: 90

LB: 90

DIMENSI: 6X15 

KT: 3+1 (KMR UNTUK GUDANG)

KM: 3 

LISTRIK: 4500WATT 

AIR: PAM

SERTIFIKAT: PPJB 

- TIPE UNIT VIOLETTA SUPERIOR

- 3 LANTAI

- FURNISHED

- 1 RUANG TAMU

- 1 DAPUR

- SMART LOCK DOOR

- FREE PEMASANGAN CCTV 1,5 BLN

- RUMAH BARU GRESSS FULL FURNISHED 

- DI BELAKANG SISA TANAH LUAS BISA UNTUK TAMAN ATAU TAMBAHAN BANGUNAN

HARGA: 2.050M"
241225-BRPI00128,6/24/25 12:44,ANNEKE (AOJ),"Brighton Winner Pakuwon Indah, Surabaya",Jawa Timur,Surabaya,Citraland,CITRALAND BUKIT PALMA,Rumah,Jual,84,110,3,3,"1,500,000,000",Sale,HGB,RUMAH CITRALAND BUKIT PALMA SURABAYA,PDAM,2200,OPEN,"(JUAL) RUMAH BUKIT PALMA CITRALAND SURABAYA

LT: 84

LB: 110 

KT: 3

KM: 3

HADAP: TIMUR LAUT 

AIR: PDAM

SERTIFIKAT: HGB

- 2 LANTAI

- KOSONGAN

- BARU GRESS

HARGA: 1.5M NEGO"
241225-BRPI00127,6/24/25 12:44,ANNEKE (AOJ),"Brighton Winner Pakuwon Indah, Surabaya",Jawa Timur,Surabaya,Citraland,CITRALAND NORTHWEST PARK,Rumah,Jual,55,78,3,2,"1,300,000,000",Sale,HGB,RUMAH NORTHWEST PARK CITRALAND SURABAYA,PDAM,2200,OPEN,"(JUAL) RUMAH NORTHWEST PARK CITRALAND SURABAYA

LT: 55

LB: 78

KT: 3

KM: 2 

AIR: PDAM

SERTIFIKAT: HGB

- 2 LANTAI 

- TYPE ASTHEA

- FULL FURNISHED

- SMART HOME (PINTU DAN LAMPU OTOMATIS)

- 3 UNIT AC

- SOFA

- 3 BED DI MASING-MASING KAMAR

- LEMARI

- CERMIN BESAR

- FREE PLAYSTASION 4

- DEKAT DENGAN DANAU DAN KOLAM RENANG CLUSTER

HARGA: 1.3M"
241225-BRPI00126,6/24/25 12:43,ANNEKE (AOJ),"Brighton Winner Pakuwon Indah, Surabaya",Jawa Timur,Surabaya,Citraland,CITRALAND NORTHWEST PARK,Rumah,Jual,72,54,1,1,"950,000,000",Sale,HGB,RUMAH NORTHWEST PARK CITRALAND SURABAYA,PDAM,3500,OPEN,"(JUAL) RUMAH NORTHWEST PARK CITRALAND SURABAYA

LT: 72

LB: 54

DIMENSI: 6X12 

KT: 1

KM: 1

HADAP: UTARA 

LISTRIK: 3500WATT

AIR: PDAM

SERTIFIKAT: HGB

- 1 LANTAI

- BANGUNAN FULL FINISHING SAMPAI BELAKANG (SUDAHA DA CYCLON)

- DIBANGUN TERAS TAMBAHAN LENGAKP DENGAN KANOPI

- KONDISI TERAWAT

- ONE GATE SYSTEM, PASTI AMAN

- DEKAT DENGAN RUKO PERTOKOAN

HARGA: 950JT NETT"
241225-BRPI00125,6/24/25 12:41,ANNEKE (AOJ),"Brighton Winner Pakuwon Indah, Surabaya",Jawa Timur,Surabaya,Citraland,CITRALAND BUKIT PALMA,Rumah,Jual,84,120,3+1,2+1,"2,000,000,000",Sale,HGB,RUMAH BUKIT PALMA CITRALAND SURABAYA,PDAM,2200,OPEN,"(JUAL) RUMAH BUKIT PALMA CITRALAND SURABAYA

LT: 84

LB: 120

DIMENSI: 7X12 

KT: 3+1

KM: 2+1

HADAP: SELATAN

LISTRIK: 2200WATT

AIR: PAM

SERTIFIKAT: HGB

- 2 LANTAI

- SEMI FURNISHED

- 1 UNIT WATER HEATER

- 4 UNIT AC

- SMART DOOR LOCK

- KOMPOR TANAM

- SUDAH RENOV

- TIDAK BOCOR

- FULL TERALIS

HARGA: 2M NEGO"
241225-BRPI00124,6/24/25 12:41,ANNEKE (AOJ),"Brighton Winner Pakuwon Indah, Surabaya",Jawa Timur,Surabaya,Citraland,CITRALAND TAMAN PUSPA RAYA,Tanah,Jual,240,,,,"2,640,000,000",Sale,HGB,TANAH KAVLING POSISI HOOK TAMAN PUSPA RAYA CITRALAND SURABAYA,,,OPEN,"(JUAL) TANAH KAVLING POSISI HOOK TAMAN PUSPA RAYA CITRALAND SURABAYA

LT: 240 

DIMENSI: 15X16 

HADAP: TIMUR SELATAN 

SERTIFIKAT: HGB PERORANGAN

- TANAH KAVLING

- POSISI POJOK (HOOK)

HARGA PER METER: 11JT/M2

HARGA JUAL: 2.64M"
241225-BRPI00123,6/24/25 12:41,ANNEKE (AOJ),"Brighton Winner Pakuwon Indah, Surabaya",Jawa Timur,Surabaya,Pakuwon Indah,ORCHARD,Apartment,Sewa,29,29,1,1,"35,000,000",Sold,Lain-lain,ORCHARD STUDIO SIAP PAKAI,Water Treatment,3500,OPEN,"ORCHARD

STUDIO

FULL FURNISHED BAGUS

SIAP PAKAI

LANTAI 30



GROSS AREA = 29MÂ²

ADA BALKON

VIEW POOL

BED, LEMARI, KULKAS, KITCHEN SET, KOMPOR PORTABLE, AC, WATER HEATER



HARGA : 35 JT (NEGO TIPIS)"
241225-BRPI00122,6/24/25 12:41,ANNEKE (AOJ),"Brighton Winner Pakuwon Indah, Surabaya",Jawa Timur,Surabaya,Citraland,CITRALAND NORTHWEST HILL,Rumah,Jual,72,73,2,2,"1,300,000,000",Sale,SHM,RUMAH NORTHWEST HILL CITRALAND SURABAYA,PDAM,2200,OPEN,"(JUAL) RUMAH NORTHWEST HILL CITRALAND SURABAYA

LT: 72

LB: 73

DIMENSI: 6X12 

KT: 2

KM: 2

HADAP: SELATAN 

LISTRIK: 2200WATT

AIR: PDAM

SERTIFIKAT: SHM

- 2 LANTAI

- TYPE DELUXE

- SUDAH ADA KANOPI

- KOSONGAN

- CARPORT 1 MOBIL

HARGA: 1.3M NEGO"
241225-BRPI00121,6/24/25 12:40,ANNEKE (AOJ),"Brighton Winner Pakuwon Indah, Surabaya",Jawa Timur,Surabaya,HR Muhammad,SURYA INTI PERMATA JL MAYJEND HR MUHAMMAD,Ruko,Jual,96,260,0,2,"6,000,000,000",Sale,HGB,RUKO SURYA INTI PERMATA JL MAYJEND HR MUHAMMAD SURABAYA,PDAM,4400,OPEN,"(JUAL) RUKO SURYA INTI PERMATA JL MAYJEND HR MUHAMMAD SURABAYA

LT: 96

LB: 260 

DIMENSI: 4.5X16.5

HADAP: BARAT DAYA

LISTRIK: 4400WATT

AIR: PDAM

SERTIFIKAT: HGB HT BCA

- RUKO ONNA SEBELAH LEKO

- KOSONGAN 

HARGA: 6M NEGO"
241225-BRPI00120,6/24/25 12:40,ANNEKE (AOJ),"Brighton Winner Pakuwon Indah, Surabaya",Jawa Timur,Surabaya,Wiyung,BABATAN INDAH,Rumah,Sewa,90,180,5,2,"60,000,000",Sale,SHM,RUMAH 2 LANTAI BABATAN INDAH SURABAYA,PDAM,2200,OPEN,"(SEWA) RUMAH BABATAN INDAH SURABAYA

LT: 90

LB: 180

DIMENSI: 7.5X12

KT: 5

KM: 2 

LISTRIK: 2200WATT (TOKEN) 

AIR: PDAM

SERTIFIKAT: SHM

- 2 LANTAI

- KOSONGAN

- 2 UNIT AC DI LANTAI BAWA

- 2 LEMARI BAJU DI LANTAI BAWAH 

- TV DI LANTAI BAWAH

- TANDON AIR

- BISA SEWA 1TH

HARGA: 60JT/TH NETT"
241225-BRPI00119,6/24/25 12:40,ANNEKE (AOJ),"Brighton Winner Pakuwon Indah, Surabaya",Jawa Timur,Surabaya,Citraland,CITRALAND NORTHWEST PARK,Rumah,Jual,120,100,3,2,"1,850,000,000",Sale,HGB,RUMAH CITRALAND NORTHWEST PARK SURABAYA,PDAM,2200,OPEN,"(JUAL) RUMAH NORTHWEST PARK CITRALAND SURABAYA

LT: 120

LB: 100

DIMENSI: 8X15

KT: 3

KM: 2

HADAP: SELATAN 

LISTRIK: 2200WATT

AIR: PAM

SERTIFIKAT: HGB 

- TYPE ARKAZIA

- 2 LANTAI

- KOSONGAN

- DEKAT GATE MASUK

- ROW JALAN LEBAR

- SIAP HUNI

HARGA: 1.85M"
241225-BRPI00118,6/24/25 12:40,ANNEKE (AOJ),"Brighton Winner Pakuwon Indah, Surabaya",Jawa Timur,Surabaya,Citraland,CITRALAND NORTHWEST PARK,Rumah,Jual,72,36,1,1,"899,000,000",Sale,HGB,RUMAH NORTHWEST PARK CITRALAND SURABAYA,PAM,2200,OPEN,"(JUAL) RUMAH NORTHWEST PARK CITRALAND SURABAYA

LT: 72

LB: 36

DIMENSI: 6X12 

KT: 1

KM: 1 

AIR: PAM

SERTIFIKAT: HGB

- 1 LANTAI

- CARPORT 1 MOBIL

- KOSONGAN

- SIAP HUNI

- KONDISI BAGUS DAN TERAWAT 

HARGA: 899JT (NEGO TIPIS)"
241225-BRPI00117,6/24/25 12:40,ANNEKE (AOJ),"Brighton Winner Pakuwon Indah, Surabaya",Jawa Timur,Surabaya,Sukomanunggal,SUKOMANUNGGAL JAYA,Rumah,Jual,252,252,8,3,"4,200,000,000",Sale,SHM,RUMAH SUKOMANUNGGAL JAYA SURABAYA,PDAM,4400,OPEN,"(JUAL) RUMAH SUKOMANUNGGAL JAYA SURABAYA

LT: 252

LB: 252

DIMENSI: 9X28 

KT: 8 

KM: 3

HADAP: BARAT

LISTRIK: 4400WATT

AIR: PDAM

SERTIFIKAT: SHM

- 2.5 LANTAI

- SEMI FURNISHED

- LEMARI YANG MENEMPEL DI DINDING 

- FULL BANGUNAN

- 1 KT UTAMA ADA 1 KM DALAM

- GARAI DAN CARPORT BISA 3MOBIL

- DEPAN POS SATPAM

HARGA: 4.2M NEGO"
241225-BRPI00116,6/24/25 12:39,ANNEKE (AOJ),"Brighton Winner Pakuwon Indah, Surabaya",Jawa Timur,Surabaya,Citraland,CITRALAND BUKIT PALMA,Rumah,Jual,132,90,3,2,"1,500,000,000",Sale,SHM,RUMAH BUKIT PALMA CITRALAND SURABAYA,PDAM,2200,OPEN,"(JUAL) RUMAH BUKIT PALMA CITRALAND SURABAYA 

LT: 132

LB: 90

DIMENSI: 11X12 

KT: 3

KM: 2 

LISTRIK: 2200WATT 

AIR: PAM

SERTIFIKAT: SHM

- 1 LANTAI

- EXHAUST FAN

- GORDYN TIAP JENDELA

- RUMAH BEBAS BANJIR 

HARGA: 1.5M NEGO"
241225-BRPI00115,6/24/25 12:39,ANNEKE (AOJ),"Brighton Winner Pakuwon Indah, Surabaya",Jawa Timur,Surabaya,Citraland,CITRALAND NORTHWEST PARK,Rumah,Jual,105,89,3,2,"1,750,000,000",Sale,HGB,RUMAH NORTHWEST PARK CITRALAND SURABAYA,,2200,OPEN,"(JUAL) RUMAH NORTHWEST PARK CITRALAND SURABAYA

LT: 105

LB: 89 

KT: 3

KM: 2

LISTRIK: 2200WATT

AIR: PAM

SERTIFIKAT: HGB

- KOSONGAN

- 2 LANTAI

- 3 UNIT AC (TIAP KAMAR TIDUR ADA)

- SUDAH DISUNTIK RAYAP OLEH RENTOKIL

- SUDAH ADA CANOPY DI CARPORT DAN DIBELAKANG RUMAH 

HARGA: 1.75M NETT"
241225-BRPI00114,6/24/25 12:39,ANNEKE (AOJ),"Brighton Winner Pakuwon Indah, Surabaya",Jawa Timur,Surabaya,Citraland,CITRALAND NORTHWEST HILL,Rumah,Jual,90,90,5,2,"2,150,000,000",Sale,SHM,RUMAH NORTHWEST HILL CITRALAND SURABAYA2.5,PDAM,2200,OPEN,"(JUAL) RUMAH NORTHWEST HILL CITRALAND SURABAYA

LT: 90

LB: 90

DIMENSI: 6X15 

KT: 5

KM: 2

HADAP: TIMUR 

AIR: PDAM

SERTIFIKAT: SHM

- 2 LANTAI

- SUDAH RENOV KT JADI 5

- FURNISHED (2 SOFA LEMARI RUANG TAMU, LEMARI TV)

- 5 UNIT AC (ADA DI KAMAR DAN RUANG TAMU)

- RUMAH SIAP HUNI 

- KONDISI BAGUS DAN LAYAK

- 1 GUDANG KECIL

- 1 CARPORT

- SELANGKAH KE KOLAM RENANG

- BUTUH JUAL CEPAT

HARGA: 2.15M NEGO"
241225-BRPI00113,6/24/25 12:39,ANNEKE (AOJ),"Brighton Winner Pakuwon Indah, Surabaya",Jawa Timur,Surabaya,Wiyung,ROYAL RESIDENCE CLUSTER MONTICELLO,Rumah,Sewa,126,164,5,4,"85,000,000",Sale,Lain-lain,RUMAH ROYAL RESIDENCE CLUSTER MONTICELLO SURABAYA,PDAM,3500,OPEN,"(SEWA) RUMAH ROYAL RESIDENCE CLUSTER MONTICELLO SURABAYA

LT: 126

LB: 164 

KT: 5

KM: 4

HADAP: SELATAN 

LISTRIK: 3500WATT

AIR: PDAM

- 2 LANTAI

- FULL FURNISHED

- 3 UNIT AC

- 1 UNIT WATER HEATER

- WASHING MACHINE

- KITCHEN SET

- KOMPOR ARISTON

- MEJA MAKAN, SOFA, TV

HARGA: 85JT/TH NEGO (MIN SEWA 2TH)"
241225-BRPI00112,6/24/25 12:39,ANNEKE (AOJ),"Brighton Winner Pakuwon Indah, Surabaya",Jawa Timur,Surabaya,Citraland,CITRALAND BUKIT PALMA,Tanah,Jual,96,,,,"600,000,000",Sale,SHM,TANAH CITRALAND BUKIT PALMA SURABAYA,,,OPEN,"(JUAL) TANAH BUKIT PALMA CITRALAND SURABAYA

LT: 96 

DIMENSI: 8X12 

HADAP: BARAT LAUT 

SERTIFIKAT: SHM

- ROW JALAN 5 METER

- KONDISI TANAH PADAT

- LOKASI TANAH DI POJOK

HARGA: 600JT"
