Area Category,Luas Tanah (m2),Luas Bangunan (m2),Jumlah Kamar,Jumlah Kamar Mandi,Tingkat/Lantai ,Harga Penawaran (dari Owner),Terjual/Belum,Arah Hadap Rumah,Posisi Rumah,Lebar Jalan Depan Rumah (ROW)
3,144,200,3,3,2,3250000000,1,3,2,3
3,250,300,5,4,2,3450000000,1,2,2,3
3,240,300,3,3,2,3500000000,1,3,2,2
3,160,200,5,4,2,3500000000,1,1,2,2
2,180,225,4,4,2,3500000000,1,0,2,2
3,180,170,5,4,2,3500000000,1,1,2,2
3,362,250,4,4,2,3700000000,1,2,2,3
2,200,243,3,4,2,3900000000,1,1,2,3
3,279,450,5,5,2,3990000000,1,2,2,2
3,240,300,5,4,2,4000000000,1,0,2,2
2,225,350,4,3,3,4750000000,1,3,2,2
2,240,300,5,5,2,4888888888,1,2,3,3
2,240,270,4,3,2,4950000000,1,1,2,2
3,254,265,4,3,2,5300000000,1,1,2,2
2,200,485,5,5,3,5500000000,1,3,2,2
2,240,345,4,4,2,6000000000,1,1,2,2
2,395,365,3,5,2,7000000000,1,3,3,3
3,425,850,6,4,2,8000000000,1,3,2,2
2,300,400,5,3,2,8999999999,1,3,2,3
1,425,300,4,4,2,11000000000,1,2,2,3
1,390,500,7,6,2,13500000000,1,3,2,3
2,616,900,6,7,2,13800000000,1,3,2,2
1,1561,750,5,7,1,14000000000,1,3,2,2
1,600,700,5,5,2,16999999999,1,1,2,2
2,792,509,5,3,2,19999999000,1,1,2,3
3,573,400,5,5,1,20055000000,1,3,1,2
2,390,920,5,5,3,20500000000,1,1,2,2
1,900,1100,6,5,2,58000000000,1,3,3,3
1,364,450,6,5,2,9500000000,1,3,2,2
1,600,700,5,5,2,16500000000,1,1,2,2
3,84,70,2,1,1,8000000000,1,3,2,2
2,200,243,5,4,2,3900000000,1,1,2,3
2,120,240,4,3,2,2500000000,1,2,2,2
2,112,150,4,3,2,1900000000,1,3,2,3
1,495,750,7,5,2,5500000000,1,3,2,3
4,360,120,4,2,2,2400000000,1,3,2,2
2,264,360,5,6,2,5900000000,1,2,2,2
1,375,600,5,4,2,5690000000,1,3,2,2
3,60,90,3,2,2,1000000000,1,1,2,3
2,200,340,7,2,2,4100000000,1,1,2,3
3,83,164,4,4,1,1800000000,1,3,2,2
3,84,56,2,1,1,1200000000,1,1,2,2
3,90,150,3,3,2,1500000000,1,3,3,2
3,120,90,4,2,1,1900000000,1,1,2,3
3,250,300,5,3,2,2800000000,1,1,2,3
3,84,120,3,3,2,1500000000,1,3,2,2
3,67,68,2,2,2,849000000,1,3,2,2
4,60,50,2,1,1,595000000,1,1,2,2
3,60,68,2,2,2,725000000,1,3,2,2
2,330,550,6,7,2,7900000000,1,3,2,2
4,184,132,4,1,1,1250000000,1,3,2,2
3,72,90,2,2,2,1700000000,1,3,2,2
1,240,400,6,7,2,5800000000,1,1,2,3
2,340,250,8,4,2,3500000000,1,1,2,2
2,150,180,5,4,2,2400000000,1,1,2,2
2,200,200,5,4,3,3900000000,1,3,2,3
2,312,312,4,4,2,4250000000,1,1,2,2
4,300,400,4,3,2,3900000000,1,3,2,2
2,160,320,7,4,2,4000000000,1,1,3,2
3,268,170,4,2,1,2000000000,1,2,2,2
2,120,250,5,5,3,1900000000,1,3,2,2
3,106,150,5,4,2,2300000000,1,2,2,3
2,280,425,5,5,2,4950000000,1,2,2,2
3,420,570,5,4,1,4250000000,1,2,2,2
4,120,120,2,2,1,1900000000,1,3,2,2
4,140,130,3,2,1,1100000000,1,0,2,2
3,120,90,4,3,1,725000000,1,3,2,2
2,754,530,7,5,2,14000000000,1,1,2,2
4,200,200,3,2,1,1600000000,1,3,2,2
3,240,180,3,3,1,3850000000,1,3,2,2
4,300,250,5,4,1,2600000000,1,3,2,3
2,107,145,5,5,2,1900000000,1,3,2,2
2,942,635,8,3,1,25000000000,1,3,3,3
3,105,84,2,1,1,1000000000,1,0,2,2
2,135,225,5,4,2,4100000000,1,2,2,3
2,135,140,4,3,2,2300000000,1,1,2,2
3,160,160,4,3,1,2100000000,1,3,2,2
2,120,140,4,2,2,1600000000,1,3,2,2
