,ID,Area Category,Rank Area Category,Luas Tanah (m2),Luas Bangunan (m2),Jumlah Kamar,Jumlah Km Mandi,Tingkat/Lantai,Harga rata2 Komunitas,Harga Dipasarkan (dari Owner),Harga Terjual,Terjual/Belum,Encode Terjual/Belum,Status Kepemilikan,Rank Status Kepemilikan,Arah Hadap Rumah,Rank Arah Hadap Rumah,Posisi Rumah,Rank Posisi Rumah,Lebar Jalan Depan Rumah (ROW),Pemilik Butuh Uang (Urgent),Encode Butuh Uang,Umur Bangunan,Siap Huni (Y/N),Furnish  (Y/N),Encode Furnish,Listed Berapa Lama,Encode Listed,Fasilitas Publik
40,,3,3,300.0,250.0,5,3,1.0,3300.0,3500.0,3000.0,1,1,3,5,2,2,5,6,3,1,1.0,3.0,1,0,0,2,20.0,2
41,,2,2,60.0,40.0,2,1,1.0,400.0,500.0,0.0,0,0,2,3,3,3,5,6,2,0,0.0,1.0,1,0,0,1,8.0,2
42,,2,2,150.0,122.0,3,2,1.0,2800.0,3500.0,0.0,0,0,3,5,1,1,5,6,3,0,0.0,3.0,0,0,0,2,20.0,2
43,,3,3,265.0,236.0,5,4,2.0,6000.0,6500.0,0.0,0,0,4,4,2,2,5,6,3,0,0.0,2.0,1,1,1,1,8.0,2
44,,2,2,113.0,100.0,3,2,2.0,1250.0,1500.0,1250.0,1,1,3,5,4,4,5,6,3,0,0.0,1.0,1,0,0,1,8.0,1
45,,2,2,72.0,140.0,3,3,2.0,1000.0,1300.0,0.0,0,0,3,5,2,2,5,6,2,0,0.0,1.0,1,0,0,2,20.0,2
46,,2,2,165.0,330.0,4,3,2.0,2500.0,2750.0,0.0,0,0,3,5,3,3,5,6,3,0,0.0,1.0,1,0,0,1,8.0,1
47,,2,2,217.0,100.0,5,2,2.0,1300.0,1400.0,0.0,0,0,3,5,3,3,5,6,3,0,0.0,2.0,1,0,0,1,8.0,1
48,,2,2,105.0,70.0,2,1,1.0,700.0,899.0,0.0,0,0,3,5,1,1,5,6,3,0,0.0,2.0,1,0,0,2,20.0,1
49,,2,2,91.0,150.0,5,4,2.0,1500.0,1650.0,0.0,0,0,3,5,3,3,4,4,3,0,0.0,1.0,1,0,0,2,20.0,2
50,,2,2,80.0,125.0,4,4,2.0,1300.0,1550.0,0.0,0,0,3,5,1,1,5,6,3,0,0.0,1.0,1,0,0,2,20.0,2
51,,2,2,445.0,500.0,6,5,2.0,6500.0,8000.0,0.0,0,0,3,5,3,3,4,4,3,0,0.0,2.0,1,0,0,2,20.0,1
52,,2,2,140.0,200.0,4,3,2.0,2500.0,2700.0,0.0,0,0,3,5,2,2,5,6,3,0,0.0,1.0,1,0,0,2,20.0,2
53,,2,2,105.0,60.0,2,1,1.0,1200.0,1200.0,0.0,0,0,4,4,4,4,5,6,3,0,0.0,2.0,1,0,0,1,8.0,2
